"%1 item","%1 item"
"%1 items","%1 items"
"AHEADWORKS EXTENSIONS","AHEADWORKS EXTENSIONS"
"Category","Category"
"Clear All","Clear All"
"Disable ""Show X Items"" Pop-over","Disable ""Show X Items"" Pop-over"
"Display ""In Stock"" Filter","Display ""In Stock"" Filter"
"Display ""New"" Filter","Display ""New"" Filter"
"Display ""On Sale"" Filter","Display ""On Sale"" Filter"
"Enable AJAX","Enable AJAX"
"Apply Filter","Apply Filter"
"From","From"
"From %1","From %1"
"General Settings","General Settings"
"In Stock","In Stock"
"Layered Navigation","Layered Navigation"
"Layered Navigation by aheadWorks","Layered Navigation by aheadWorks"
"New","New"
"On Sale","On Sale"
"Shop By","Shop By"
"Shopping Options","Shopping Options"
"Show","Show"
"To","To"
"to %1","to %1"
"Use from-to price inputs","Use from-to price inputs"
"Use price slider","Use price slider"
